index,district,ward,type_of_housing,legal_paper,price
36354,Đống Đa,Khương Thượng,"Nhà ngõ, hẻm",Đã có sổ,80.0
45474,Nam Từ Liêm,Phương Canh,"Nhà ngõ, hẻm",Đã có sổ,35.29
34624,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,73.75
55651,Đống Đa,Quốc Tử Giám,"Nhà mặt phố, mặt tiền",Đã có sổ,96.3
23185,Cầu Giấy,Dịch Vọng Hậu,"Nhà ngõ, hẻm",Đã có sổ,70.0
12148,Đống Đa,Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,66.9
75512,Cầu Giấy,Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,90.0
48962,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,53.66
48135,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,48.33
63097,Tây Hồ,Bưởi,"Nhà ngõ, hẻm",Đã có sổ,227.27
54856,Cầu Giấy,Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,108.75
11337,Đống Đa,Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,124.19
35529,Thanh Xuân,Thượng Đình,"Nhà ngõ, hẻm",Đã có sổ,84.38
29935,Hoàng Mai,Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,81.67
19126,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,62.5
853,Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,110.0
28453,Hoàng Mai,Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,125.0
40775,Thanh Xuân,Thanh Xuân Nam,"Nhà mặt phố, mặt tiền",Đã có sổ,259.62
46997,Hoàng Mai,Hoàng Liệt,"Nhà ngõ, hẻm",Đã có sổ,72.22
48362,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,75.34
66054,Đống Đa,Thịnh Quang,"Nhà mặt phố, mặt tiền",Đã có sổ,88.89
60052,Nam Từ Liêm,Mỹ Đình 1,"Nhà mặt phố, mặt tiền",Đã có sổ,292.31
65776,Thanh Xuân,Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,121.88
18855,Thanh Xuân,Khương Đình,"Nhà mặt phố, mặt tiền",Đã có sổ,118.42
6548,Thanh Xuân,Thanh Xuân Bắc,"Nhà mặt phố, mặt tiền",Đã có sổ,156.67
7233,Tây Hồ,Phú Thượng,"Nhà ngõ, hẻm",Đã có sổ,56.03
18861,Thanh Xuân,Thanh Xuân Nam,"Nhà ngõ, hẻm",Đã có sổ,78.57
35682,Đống Đa,Hàng Bột,"Nhà mặt phố, mặt tiền",Đã có sổ,100.0
69954,Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,125.81
3868,Hoàng Mai,Yên Sở,"Nhà ngõ, hẻm",Đã có sổ,86.36
25172,Hoàng Mai,Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,68.33
50876,Thanh Xuân,Khương Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,97.06
15397,Thanh Xuân,Khương Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,98.75
73806,Tây Hồ,Bưởi,"Nhà ngõ, hẻm",Đã có sổ,67.27
76065,Đống Đa,Láng Thượng,"Nhà ngõ, hẻm",Đã có sổ,102.56
62074,Tây Hồ,Nhật Tân,"Nhà mặt phố, mặt tiền",Đã có sổ,250.0
7933,Hoàng Mai,Yên Sở,"Nhà ngõ, hẻm",Đã có sổ,78.79
58303,Ba Đình,Đội Cấn,"Nhà ngõ, hẻm",Đã có sổ,104.17
19079,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,64.02
49130,Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,80.0
77826,Đống Đa,Khương Thượng,"Nhà ngõ, hẻm",Đã có sổ,63.33
18699,Ba Đình,Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,80.26
67531,Hà Đông,Dương Nội,"Nhà mặt phố, mặt tiền",Đã có sổ,112.5
61462,Cầu Giấy,Trung Hoà,"Nhà mặt phố, mặt tiền",Đã có sổ,345.45
66861,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,100.0
23883,Cầu Giấy,Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,72.92
8315,Hai Bà Trưng,Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,93.48
71296,Cầu Giấy,Dịch Vọng Hậu,"Nhà mặt phố, mặt tiền",Đã có sổ,310.0
52295,Ba Đình,Liễu Giai,"Nhà ngõ, hẻm",Đã có sổ,166.67
5415,Thanh Xuân,Khương Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,152.63
